id,summary,windSpeed,temperature,uvIndex,visibility,city_id,updated_at
787,Overcast,2.59,34.15,0,3.378,1,1579615791
788,Clear,2.81,42.27,0,10.0,2,1579615795
789,Clear,4.22,23.96,1,10.0,3,1579615799
790,Clear,4.81,58.81,1,10.0,4,1579615803
791,Windy and Overcast,20.4,47.78,1,10.0,5,1579615807
792,Overcast,2.6,34.13,0,3.297,1,1579615871
793,Clear,2.82,42.3,0,10.0,2,1579615875
794,Clear,4.23,24.01,1,10.0,3,1579615879
795,Clear,4.8,58.8,1,10.0,4,1579615883
796,Windy and Overcast,20.4,47.76,1,10.0,5,1579615887
797,Overcast,2.6,34.1,0,3.216,1,1579615951
798,Clear,2.83,42.33,0,10.0,2,1579615955
799,Clear,4.23,24.05,1,10.0,3,1579615959
800,Clear,4.8,58.79,1,10.0,4,1579615963
801,Windy and Overcast,20.39,47.75,1,10.0,5,1579615967
802,Overcast,2.61,34.08,0,3.136,1,1579616031
803,Clear,2.83,42.36,0,10.0,2,1579616035
804,Clear,4.24,24.09,1,10.0,3,1579616039
805,Clear,4.79,58.78,0,10.0,4,1579616043
806,Windy and Overcast,20.39,47.73,1,10.0,5,1579616047
807,Overcast,2.61,34.05,0,3.055,1,1579616111
808,Clear,2.84,42.39,0,10.0,2,1579616115
809,Clear,4.25,24.13,1,10.0,3,1579616119
810,Clear,4.78,58.76,0,10.0,4,1579616123
811,Windy and Overcast,20.38,47.72,1,10.0,5,1579616127
812,Overcast,2.62,34.03,0,2.976,1,1579616191
813,Clear,2.85,42.42,0,10.0,2,1579616195
814,Clear,4.26,24.18,1,10.0,3,1579616199
815,Clear,4.78,58.75,0,10.0,4,1579616203
816,Windy and Overcast,20.38,47.7,1,10.0,5,1579616207
817,Overcast,2.63,34.0,0,2.896,1,1579616271
818,Clear,2.86,42.45,0,10.0,2,1579616275
819,Clear,4.27,24.22,1,10.0,3,1579616279
820,Clear,4.77,58.73,0,10.0,4,1579616283
821,Windy and Overcast,20.37,47.68,1,10.0,5,1579616287
822,Overcast,2.63,33.98,0,2.817,1,1579616351
823,Clear,2.87,42.48,0,10.0,2,1579616355
824,Clear,4.27,24.26,1,10.0,3,1579616359
825,Clear,4.77,58.71,0,10.0,4,1579616363
826,Windy and Overcast,20.37,47.67,1,10.0,5,1579616367
827,Overcast,2.64,33.95,0,2.737,1,1579616432
828,Clear,2.88,42.5,0,10.0,2,1579616436
829,Clear,4.28,24.3,1,10.0,3,1579616440
830,Overcast,2.65,33.92,0,2.626,1,1579616546
831,Clear,2.89,42.54,0,10.0,2,1579616550
832,Clear,4.29,24.36,1,10.0,3,1579616554
833,Clear,4.75,58.67,0,10.0,4,1579616558
834,Windy and Overcast,20.35,47.63,1,10.0,5,1579616562
835,Overcast,2.65,33.89,0,2.549,1,1579616626
836,Clear,2.9,42.57,0,10.0,2,1579616630
837,Clear,4.3,24.4,1,10.0,3,1579616634
838,Clear,4.75,58.65,0,10.0,4,1579616638
839,Windy and Overcast,20.35,47.61,1,10.0,5,1579616642
840,Overcast,2.66,33.87,0,2.473,1,1579616706
841,Clear,2.91,42.6,0,10.0,2,1579616710
842,Clear,4.31,24.44,1,10.0,3,1579616714
843,Clear,4.74,58.62,0,10.0,4,1579616718
844,Windy and Overcast,20.34,47.59,1,10.0,5,1579616722
845,Overcast,2.67,33.84,0,2.397,1,1579616786
846,Clear,2.92,42.62,0,10.0,2,1579616790
847,Clear,4.32,24.48,1,10.0,3,1579616794
848,Clear,4.73,58.6,0,10.0,4,1579616798
849,Windy and Overcast,20.33,47.57,1,10.0,5,1579616802
850,Overcast,2.67,33.82,0,2.322,1,1579616866
851,Clear,2.93,42.65,0,10.0,2,1579616870
852,Clear,4.32,24.52,1,10.0,3,1579616874
853,Clear,4.73,58.57,0,10.0,4,1579616878
854,Windy and Overcast,20.33,47.55,1,10.0,5,1579616882
855,Overcast,2.68,33.8,0,2.248,1,1579616946
856,Clear,2.93,42.67,0,10.0,2,1579616950
857,Clear,4.33,24.56,1,10.0,3,1579616954
858,Clear,4.72,58.55,0,10.0,4,1579616958
859,Windy and Overcast,20.32,47.53,1,10.0,5,1579616962
860,Overcast,2.69,33.77,0,2.175,1,1579617026
861,Clear,2.94,42.69,0,10.0,2,1579617030
862,Clear,4.34,24.6,1,10.0,3,1579617034
863,Clear,4.72,58.52,0,10.0,4,1579617038
864,Windy and Overcast,20.31,47.52,1,10.0,5,1579617042
865,Overcast,2.69,33.75,0,2.103,1,1579617106
866,Clear,2.95,42.72,0,10.0,2,1579617110
867,Clear,4.35,24.64,1,10.0,3,1579617114
868,Clear,4.71,58.49,0,10.0,4,1579617118
869,Windy and Overcast,20.3,47.5,1,10.0,5,1579617122
870,Overcast,2.7,33.72,0,2.032,1,1579617186
871,Clear,2.96,42.74,0,10.0,2,1579617191
872,Clear,4.35,24.68,1,10.0,3,1579617195
873,Clear,4.7,58.46,0,10.0,4,1579617199
874,Windy and Overcast,20.29,47.48,1,10.0,5,1579617203
875,Foggy,2.7,33.7,0,1.961,1,1579617267
876,Clear,2.96,42.76,0,10.0,2,1579617271
877,Clear,4.36,24.72,1,10.0,3,1579617275
878,Clear,4.7,58.43,0,10.0,4,1579617279
879,Windy and Overcast,20.28,47.46,1,10.0,5,1579617283
880,Foggy,2.74,33.22,0,1.893,1,1579617347
881,Partly Cloudy,3.02,42.93,0,10.0,2,1579617351
882,Clear,4.37,24.82,1,10.0,3,1579617355
883,Clear,4.68,58.36,0,10.0,4,1579617359
884,Windy and Overcast,20.42,47.74,1,10.0,5,1579617363
885,Foggy,2.74,33.19,0,1.825,1,1579617427
886,Partly Cloudy,3.02,42.95,0,10.0,2,1579617431
887,Clear,4.38,24.86,1,10.0,3,1579617435
888,Clear,4.67,58.33,0,10.0,4,1579617439
889,Windy and Overcast,20.42,47.73,1,10.0,5,1579617443
890,Foggy,2.75,33.17,0,1.759,1,1579617507
891,Partly Cloudy,3.03,42.97,0,10.0,2,1579617511
892,Clear,4.39,24.9,1,10.0,3,1579617515
893,Clear,4.66,58.29,0,10.0,4,1579617519
894,Windy and Overcast,20.41,47.71,1,10.0,5,1579617523
895,Foggy,2.75,33.14,0,1.694,1,1579617587
896,Partly Cloudy,3.03,42.99,0,10.0,2,1579617591
897,Clear,4.39,24.94,1,10.0,3,1579617595
898,Clear,4.66,58.26,0,10.0,4,1579617599
899,Windy and Overcast,20.4,47.7,1,10.0,5,1579617603
900,Foggy,2.75,33.12,0,1.63,1,1579617667
901,Partly Cloudy,3.04,43.0,0,10.0,2,1579617671
902,Clear,4.4,24.98,1,10.0,3,1579617675
903,Clear,4.65,58.22,0,10.0,4,1579617679
904,Windy and Overcast,20.39,47.68,1,10.0,5,1579617683
905,Foggy,2.76,33.09,0,1.568,1,1579617747
906,Partly Cloudy,3.05,43.02,0,10.0,2,1579617751
907,Clear,4.41,25.02,1,10.0,3,1579617755
908,Clear,4.64,58.19,0,10.0,4,1579617759
909,Windy and Overcast,20.38,47.67,1,10.0,5,1579617763
910,Foggy,2.76,33.07,0,1.507,1,1579617827
911,Partly Cloudy,3.05,43.03,0,10.0,2,1579617831
912,Clear,4.41,25.06,1,10.0,3,1579617835
913,Clear,4.63,58.15,0,10.0,4,1579617839
914,Windy and Overcast,20.37,47.66,1,10.0,5,1579617843
915,Foggy,2.71,33.52,0,1.448,1,1579617907
916,Clear,3.12,43.14,0,10.0,2,1579617911
917,Clear,5.77,24.08,1,10.0,3,1579617920
918,Clear,4.82,58.15,0,10.0,4,1579617924
919,Windy and Overcast,21.0,46.3,1,10.0,5,1579617928
920,Foggy,2.74,33.62,0,1.736,1,1579617992
921,Clear,3.14,43.15,0,10.0,2,1579617996
922,Clear,5.77,24.12,1,10.0,3,1579618000
923,Clear,4.81,58.11,0,10.0,4,1579618004
924,Windy and Overcast,20.99,46.29,1,10.0,5,1579618008
925,Foggy,2.74,33.61,0,1.678,1,1579618072
926,Clear,3.15,43.16,0,10.0,2,1579618076
927,Clear,5.78,24.16,1,10.0,3,1579618080
928,Clear,4.81,58.06,0,10.0,4,1579618084
929,Windy and Overcast,20.97,46.27,1,10.0,5,1579618088
930,Foggy,2.74,33.59,0,1.62,1,1579618153
